"","year","month_day","date","CWSI_1_5m"
"1","2000",0000-01-26,2000-01-26,0.471433232907562
"2","2000",0000-03-14,2000-03-14,0.509596307058248
"3","2000",0000-03-30,2000-03-30,0.534923969302627
"4","2000",0000-05-01,2000-05-01,0.497646821039778
"5","2000",0000-05-17,2000-05-17,0.541227157793041
"6","2000",0000-06-02,2000-06-02,0.572587986542744
"7","2000",0000-06-18,2000-06-18,0.510869639669442
"8","2000",0000-07-04,2000-07-04,0.583431111154216
"9","2000",0000-08-21,2000-08-21,0.638794057431242
"10","2000",0000-09-06,2000-09-06,0.605485912715852
"11","2000",0000-09-22,2000-09-22,0.574521511605961
"12","2000",0000-10-08,2000-10-08,0.656355390488895
"13","2000",0000-12-11,2000-12-11,0.38884421706789
"14","2001",0000-02-13,2001-02-13,0.515222988696608
"15","2001",0000-03-01,2001-03-01,0.28776058305
"16","2001",0000-04-02,2001-04-02,0.501326699365136
"17","2001",0000-04-18,2001-04-18,0.597674267090779
"18","2001",0000-06-21,2001-06-21,0.654920144153665
"19","2001",0000-07-07,2001-07-07,0.462797270192396
"20","2001",0000-07-23,2001-07-23,0.544617009922693
"21","2001",0000-08-24,2001-08-24,0.537866837503119
"22","2001",0000-09-25,2001-09-25,0.389054844066642
"23","2001",0000-10-11,2001-10-11,0.527033789717395
"24","2001",0000-11-28,2001-11-28,0.446705795143594
"25","2001",0000-12-30,2001-12-30,0.488936838696558
"26","2002",0000-01-15,2002-01-15,0.261671876446246
"27","2002",0000-03-04,2002-03-04,0.607510597560828
"28","2002",0000-04-05,2002-04-05,0.475541572700239
"29","2002",0000-06-24,2002-06-24,0.472634548737368
"30","2002",0000-07-26,2002-07-26,0.591022773625942
"31","2002",0000-08-27,2002-08-27,0.341293296556427
"32","2002",0000-09-12,2002-09-12,0.659802736717551
"33","2002",0000-09-28,2002-09-28,0.626716743035684
"34","2002",0000-10-30,2002-10-30,0.54207831095866
"35","2002",0000-12-01,2002-12-01,0.482549682390144
"36","2003",0000-01-18,2003-01-18,0.489237636526311
"37","2003",0000-02-19,2003-02-19,0.428347643562871
"38","2003",0000-03-07,2003-03-07,0.594497736570584
"39","2003",0000-03-23,2003-03-23,0.541312006678121
"40","2003",0000-04-08,2003-04-08,0.588181051549986
"41","2003",0000-04-24,2003-04-24,0.575709742405763
"42","2003",0000-10-17,2003-10-17,0.684155841688691
"43","2003",0000-11-02,2003-11-02,0.453748118270025
"44","2003",0000-11-18,2003-11-18,0.271120939008096
"45","2003",0000-12-20,2003-12-20,0.344453347326644
"46","2004",0000-03-09,2004-03-09,0.406221000518017
"47","2004",0000-06-29,2004-06-29,0.519702095680887
"48","2004",0000-07-31,2004-07-31,0.474933826226291
"49","2004",0000-09-01,2004-09-01,0.616118204018067
"50","2004",0000-09-17,2004-09-17,0.698338695138161
"51","2004",0000-10-03,2004-10-03,0.592092019210783
"52","2004",0000-11-20,2004-11-20,0.598951010842643
"53","2004",0000-12-22,2004-12-22,0.534596345494859
"54","2005",0000-01-07,2005-01-07,0.35527452979701
"55","2005",0000-03-12,2005-03-12,0.587912892510881
"56","2005",0000-03-28,2005-03-28,0.538822195572151
"57","2005",0000-05-31,2005-05-31,0.541245504021193
"58","2005",0000-07-02,2005-07-02,0.620318372879867
"59","2005",0000-09-20,2005-09-20,0.459055674723914
"60","2005",0000-10-22,2005-10-22,0.470442001795649
"61","2005",0000-11-07,2005-11-07,0.474352983708438
"62","2005",0000-11-23,2005-11-23,0.665456765448756
"63","2006",0000-01-10,2006-01-10,0.48941658721638
"64","2006",0000-02-11,2006-02-11,0.583484409514646
"65","2006",0000-07-21,2006-07-21,0.604600179588898
"66","2006",0000-08-22,2006-08-22,0.47251006447801
"67","2006",0000-11-10,2006-11-10,0.68438394004532
"68","2007",0000-01-13,2007-01-13,0.470968466562694
"69","2007",0000-03-18,2007-03-18,0.68077667908304
"70","2007",0000-07-08,2007-07-08,0.612493891991381
"71","2007",0000-11-29,2007-11-29,0.699347724448746
"72","2007",0000-12-31,2007-12-31,0.574142221069327
"73","2008",0000-03-20,2008-03-20,0.601559098248534
"74","2008",0000-04-05,2008-04-05,0.523975962966997
"75","2008",0000-05-07,2008-05-07,0.63771529609058
"76","2008",0000-09-12,2008-09-12,0.547544680219189
"77","2008",0000-09-28,2008-09-28,0.546053307809478
"78","2008",0000-10-14,2008-10-14,0.559332376276657
"79","2008",0000-10-30,2008-10-30,0.766285503489313
"80","2008",0000-11-15,2008-11-15,0.632790959697502
"81","2009",0000-02-19,2009-02-19,0.3416136155551
"82","2009",0000-03-07,2009-03-07,0.631521915828832
"83","2009",0000-03-23,2009-03-23,0.626519736882601
"84","2009",0000-07-29,2009-07-29,0.621542542720861
"85","2009",0000-08-14,2009-08-14,0.499022267261806
"86","2009",0000-12-20,2009-12-20,0.262424109902058
"87","2010",0000-06-30,2010-06-30,0.442700782168341
"88","2010",0000-07-16,2010-07-16,0.481526363937965
"89","2010",0000-08-01,2010-08-01,0.600970513857086
"90","2011",0000-01-24,2011-01-24,0.575674124173042
"91","2011",0000-02-09,2011-02-09,0.360630502331164
"92","2011",0000-02-25,2011-02-25,0.498042984096159
"93","2011",0000-08-04,2011-08-04,0.548409032660695
"94","2011",0000-08-20,2011-08-20,0.555076453373843
"95","2011",0000-11-24,2011-11-24,0.470695983708976
"96","2011",0000-12-26,2011-12-26,0.592393524947099
"97","2012",0000-01-11,2012-01-11,0.438951253637389
"98","2012",0000-02-12,2012-02-12,0.42792330900389
"99","2012",0000-02-28,2012-02-28,0.244360224245218
"100","2012",0000-03-15,2012-03-15,0.461684127288753
"101","2012",0000-03-31,2012-03-31,0.608043978444304
"102","2012",0000-06-19,2012-06-19,0.534515571703912
"103","2012",0000-07-28,2012-07-28,0.550590193450176
"104","2012",0000-08-22,2012-08-22,0.595094871104092
"105","2012",0000-09-07,2012-09-07,0.450942008957784
"106","2012",0000-10-25,2012-10-25,0.480612326224206
"107","2012",0000-12-12,2012-12-12,0.657469649675586
"108","2012",0000-12-28,2012-12-28,0.583909941071118
"109","2013",0000-02-14,2013-02-14,0.46654164197909
"110","2013",0000-04-03,2013-04-03,0.322722786353113
"111","2013",0000-05-13,2013-05-13,0.451019322813796
"112","2013",0000-05-29,2013-05-29,0.394402483032023
"113","2013",0000-06-06,2013-06-06,0.488869549455774
"114","2013",0000-06-14,2013-06-14,0.642467964107021
"115","2013",0000-06-22,2013-06-22,0.431898423613016
"116","2013",0000-06-30,2013-06-30,0.538869532295004
"117","2013",0000-07-08,2013-07-08,0.657533562254669
"118","2013",0000-07-16,2013-07-16,0.564928056060098
"119","2013",0000-07-24,2013-07-24,0.496701019357416
"120","2013",0000-08-01,2013-08-01,0.550478810262639
"121","2013",0000-08-09,2013-08-09,0.606403506557889
"122","2013",0000-08-16,2013-08-16,0.600334788283398
"123","2013",0000-08-17,2013-08-17,0.53750635792218
"124","2013",0000-09-01,2013-09-01,0.53388684007203
"125","2013",0000-09-02,2013-09-02,0.500752174562995
"126","2013",0000-11-29,2013-11-29,0.650992737288166
"127","2013",0000-12-15,2013-12-15,0.472340146101617
"128","2013",0000-12-31,2013-12-31,0.404643765633805
"129","2014",0000-02-09,2014-02-09,0.769965841312835
"130","2014",0000-02-25,2014-02-25,0.639937244101462
"131","2014",0000-03-05,2014-03-05,0.539224992822649
"132","2014",0000-03-12,2014-03-12,0.573510564497447
"133","2014",0000-03-13,2014-03-13,0.52614727003967
"134","2014",0000-03-28,2014-03-28,0.528047682809601
"135","2014",0000-03-29,2014-03-29,0.576315912688678
"136","2014",0000-04-14,2014-04-14,0.570755855609417
"137","2014",0000-05-08,2014-05-08,0.519610823243131
"138","2014",0000-05-16,2014-05-16,0.569375506409507
"139","2014",0000-05-24,2014-05-24,0.554516241685823
"140","2014",0000-06-01,2014-06-01,0.474442055073925
"141","2014",0000-06-09,2014-06-09,0.490386415642822
"142","2014",0000-06-25,2014-06-25,0.506739246014113
"143","2014",0000-07-19,2014-07-19,0.493414129862961
"144","2014",0000-07-27,2014-07-27,0.521813122254141
"145","2014",0000-09-13,2014-09-13,0.502607526247358
"146","2014",0000-10-23,2014-10-23,0.749927095170799
"147","2014",0000-10-31,2014-10-31,0.600535541577949
"148","2014",0000-12-09,2014-12-09,0.649115928681556
"149","2014",0000-12-10,2014-12-10,0.542546610019851
"150","2014",0000-12-26,2014-12-26,0.75324587104479
"151","2015",0000-01-03,2015-01-03,0.603250161695643
"152","2015",0000-01-11,2015-01-11,0.689804868393298
"153","2015",0000-02-20,2015-02-20,0.520486595774417
"154","2015",0000-03-08,2015-03-08,0.561002412246561
"155","2015",0000-03-31,2015-03-31,0.721468114759207
"156","2015",0000-04-01,2015-04-01,0.731074551825289
"157","2015",0000-04-09,2015-04-09,0.444419394291478
"158","2015",0000-05-11,2015-05-11,0.475093871994962
"159","2015",0000-05-27,2015-05-27,0.589715799755864
"160","2015",0000-06-04,2015-06-04,0.474996528257153
"161","2015",0000-06-20,2015-06-20,0.435310581265564
"162","2015",0000-06-28,2015-06-28,0.434589820634289
"163","2015",0000-07-06,2015-07-06,0.499380335025069
"164","2015",0000-07-14,2015-07-14,0.479982700794644
"165","2015",0000-07-22,2015-07-22,0.648765095736584
"166","2015",0000-08-07,2015-08-07,0.626806298672182
"167","2015",0000-08-31,2015-08-31,0.577541571067024
"168","2015",0000-09-08,2015-09-08,0.682107840754851
"169","2015",0000-09-24,2015-09-24,0.633495647955851
"170","2015",0000-11-10,2015-11-10,0.682951055603116
